Sector,Salary,Benefits,Employer,Job Title,Year,ID
Colleges,102543.28,549.29,Algonquin College,"Dir., Information Technology Srvcs.",2005,ae9d35e275b005f9ff78278a95f86304b8a81e6bf95aae2b176335c030b9bab2d049f0294fba5f9fbdf752a0df28334598ef4d10e93250644aeb5b460fc466d7
Colleges,100391.51,524.04,Algonquin College,"Chair, Allied Health Services",2005,6cb809e63636c2f6c48c9793365edbbed3eb91ad712964fa70429390bddb4a728e3c3a094efe1be31313ce0b6a1a5e7d97c961c19f28356412ff1f6071995012
Colleges,104561.36,557.28,Algonquin College,"Chair, Health & Community Srvcs.",2005,46a98291694c6472cd86a0d1fdd7f8a9e0f65037b18b887c92540b392b811cb880d82a8b8fb18d01575eec2e6b0c3193818a4fe1fc55c81454128a0490e200c6
Colleges,133321.69,625.58,Algonquin College,"Exec. Dean, Hlth., Public Safety & Comm.",2005,000f476def2fcbb99a181afd77f0bb1385f36a7da928f5083c4ee3d34f539ed7fdec3ef574709bce42aad23f0c998d61bc8f85959b8d7628085ea4dee12c4c7b
Colleges,104561.36,557.28,Algonquin College,"Chair, Architecture/Civil/GIS",2005,47a3f4c96804c621fd6747229cf6feb7856efadc72b68e147a5c949a3579500fecc465ab5159e7de2e207e53b143a8add1bf01400e73e56fb3569e7bbf4ade85
Colleges,108378.11,557.61,Algonquin College,"Chair, Computer Studies",2005,17d972dd88a9bfaa5d7afe648152b83abf73146d64f4ecbbc82fe9f0dac41866f96cc564878fad58923e782ef92ada079fa3c1a1d1da1477c8b2010f78eaef76
Colleges,114239.46,474.48,Algonquin College,"Director, Finance",2005,a2aa98cfca9eff12b62ff5588e7d5f6fd3a2f70f2a337db1e3ea2a5d1eacb70d7f35021d0ebbb1a4233e67ffc254c758ec1b4a9539f06b646079e33a41a4a1cb
Colleges,104561.36,293.67,Algonquin College,"Chair, Community Services",2005,700525b45769a885ad52343d8cc08c2e6d93429f3961e699e8dde1ff3fd44a723e9277cdea781bf147b51f0e7694120cedf62109a058a8b85208634a1ea49663
Colleges,121714.5,521.64,Algonquin College,Business Development,2005,a658dc224ec9fea48e815f56eec13a0cb82ba8deb2f028950d94563de209e2858c607d270798ae11aaa24aa7bbd7a24501767fe045782195d52fe6e99eaec3a2
Colleges,110384.91,500.73,Algonquin College,"General Manager, Food Srvcs. Operations",2005,35d2ec060de7a1a0da9915ed06469c0e92fe481eab23e669051ed5cff7224486ea8e831193ee2796d8a48c1dacc421ae82ba2435a0140e471bce1c9160f29a90
Colleges,104561.36,160.65,Algonquin College,"Chair, Police/Public Safety Institute",2005,6dc1d6ec3f7ba39498df2b2bcecbb03520fa897ca0e97a1e75a5f5730451161514b53e2a51ecf9d504248afb5fa477f295a1fb1098afb432bfa466e0e0f6dbe4
Colleges,116789.46,474.48,Algonquin College,"Executive Dean, Academic Development",2005,bf8085b73af101222690c4b0b4c8001f8b2dc012386552676b7e9e060b5c7ab66d59de8fae141a58229f7888b5eeca88e2b76418419c7a2f50c892be64833d05
Colleges,104380.59,432.34,Algonquin College,"Asst. Gen. Mgr., Food Srvcs. Operations",2005,7cf03a186584784e4f633282dacf010e072a3e4e02ca6197017322a93a171da15cfb5c126f068a6e27652e74ad2b9d20347751069c1875a719bea5b2d1d3a789
Colleges,104561.36,657.28,Algonquin College,"Chair, Electronics/Electro-Mechanical",2005,6ef4b7888fcf3f484d93914bc24ede3851f1c12e5f06b6ca0cec2fb7d1d540cd8cd164fc1ae21c736ef7de7443135a31dcc5cd5f48d8ec62768d7393483e285b
Colleges,242443.07,18106.48,Algonquin College,President,2005,bc4a7f873d41ed2b9837a3dc70e365025653287ce3345ef13f06d5267a8ffff827c5915e6e6a4ee3086943b004d1f2e38748354b348d07d3dfb84060d5634a10
Colleges,164212.8,704.61,Algonquin College,"Vice President, Academic",2005,48a0f790a60c4ebc897d2e7349e6a3761acb318c18a17324068126cf5c33ae9cf446c958f01b3c2b5fa45bd8746066b6b133416a86832c34746a4425942b2bfb
Colleges,161642.8,704.61,Algonquin College,"Vice President, Finance & Admin.",2005,bcad175c03dfbe059f51950dc64c7d2e375192dd8aedefd98dea57a2bc5fba006a59f9de897948eaa2e0812d7c2d938d4da353b338814d2d3a3c111e4af66803
Colleges,119132.3,177.27,Algonquin College,"Dean, Perth Campus",2005,17c22444730534571e6d477eacf23925e24428dd0599c0f56b739bef8559e0eb76f4e0106a80e0192a27ac19cb1b00820ac8d411b1ccd1db98991fef2b218d52
Colleges,122007.59,653.64,Algonquin College,"Exec. Director, Strategy & Business Dev.",2005,de49296a44e08022b249a8e0901a5772972ae27cca22867dafb4de3f2b6a0f611496ece53227dde0fa7ca671f3e64cde740565a0c179ac0f430775a5b88329f5
Colleges,104561.36,557.28,Algonquin College,"Director, Learning & Technology Srvcs.",2005,f29ec877ffa5d2445e245534c29d0641aada0a8c71fe5d09d6f84b8ba84e0646fc1749df50b4a0150e9b3d681cebac2999afa69441ae281a1dda64d77cced148
Colleges,112984.39,596.84,Algonquin College,"Director, Ancillary Operations",2005,5a437413dd087516689113d7d640c90bfe408b3b53f25ee83068c98e82602f429d0d67de71c275981008a20ad996811fbe6eb2b9f312dfac21a652717b3735a9
Colleges,103194.33,425.67,Algonquin College,"Manager, Network Infrastructure",2005,9be7330bd74c071eb571ecddefdaddfb331fd1f8fbb75260158e919b9ae6c6513254ff23d37230ccded5486c4be5524fd203925e0ed8294bb7421235c3609546
Colleges,108449.21,570.61,Algonquin College,"Chair, Marketing/Management Studies",2005,ad7b20a6dba2ad11681069454609782b4f8ad033e0bf0304fe0770df714f0877e4540350e6fd94c8c7b0ee57004c9950a7cae7348742a241ff5a3d4de5789075
Colleges,124938.89,662.43,Algonquin College,"Exec. Dean, Faculty Arts & Media Design",2005,a6a5ec0594ff432a9df87c0681189e2619fdb7507885a13f727ddd2ff4f8d7a57de2c7754118f5e617028e0a12efd8801f3eba836df6b5dbf9672bc4d8ee2f5b
Colleges,100932.49,534.16,Algonquin College,"Exec. Dir., Academic Ops. & Planning",2005,4c55e2778592bfa0b0e3579bc498d11fbe18fb76ed672e70a9e331be88d47d55483ab00b0bd4432ca755b5aa105e4fcce2591ab52f08317f1366198510dd2b6b
Colleges,103046.65,108.06,Algonquin College,"Exec. Dir., Academic Ops. & Planning",2005,9ec3219f40245d0b04c862920bd852a78dcd1410d6a341729ddc3ef9955370cb31c402b5e356780fc50db16a920384310357cc28e401d3d2b442bb71e5ea034b
Colleges,120868.46,618.55,Algonquin College,"Director, Human Resources",2005,5c9d6dc52df170434dd58115d45671723c181dd861bd54f3c6ecd28bfdd2356fcde4a1abe52ebfa3e556baf1cc5ab5ef3eb73f05adf12e6a195e3d2f9b6b707e
