Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
OTHER PUBLIC SECTOR EMPLOYERS,"$194,890.40",$711.24,Addiction Research Foundation,President & CEO,1996,8eb03f0cbce3e122475abd4d47904dd5a4b4accf0edca20bb51f53f27abca756
OTHER PUBLIC SECTOR EMPLOYERS,"$115,603.62",$403.41,Addiction Research Foundation,"Dir., Soc. Eval. Research & Act. Dir., Clin. Research",1996,5ac6575a207c79076638b243fe05601f755f33c5a35b84eb5d8edb0033eed4cd
OTHER PUBLIC SECTOR EMPLOYERS,"$149,434.48",$512.58,Addiction Research Foundation,"V.P., Research & Coordinator, Intern. Programs",1996,4079d2d53a40ea755635c2c7aeba5a8cdcb1e968caf98bf730cfc859037cf4d7
ONTARIO PUBLIC SERVICE,"$109,382.92","$4,921.68","Agriculture,Food and Rural Affairs",Deputy Minister,1996,3f77fa7b93d55fd8f6ccf81c0df73be4582f346e7315e65297bdf9a4935242e6
HOSPITALS,"$110,309.00","$3,157.00",Ajax and Pickering General Hospital,President & CEO,1996,32707732ce6bc64ac7d10f03ac507a58ab043284027a15528f520d47de2ccc0a
COLLEGES,"$127,332.00","$3,633.00",Algonquin College of Applied Arts and Technology,President,1996,1257bfd8b229342ef2011a27a05fc7a8aa18910021e428c881b224cd84ead48c
COLLEGES,"$102,999.00","$5,557.00",Algonquin College of Applied Arts and Technology,"V.P., Academic",1996,b2e19d60efeae6b4a48aad75f380bb8700c52bb18a80a894cbcbf1786051001f
COLLEGES,"$183,482.00",$878.00,Algonquin College of Applied Arts and Technology,Past President,1996,ba6ff8a81f941d81ebedbf259cbfb9e99a3d4d3f33f3398a3a70effdba565771
COLLEGES,"$106,608.00","$5,586.00",Algonquin College of Applied Arts and Technology,"V.P., Finance & Administration",1996,6dd970af6ef28a7f0ccb37db9a2f89048c2b01657be040b96ff6f02a3687c57f
OTHER PUBLIC SECTOR EMPLOYERS,"$134,443.00",$563.37,Almaguin Health Centre,Medical Doctor,1996,e179455cbf44979c7c6e75f9dbfb1c198c1226a693b68558a303f85339c53deb
CROWN AGENCIES,"$225,999.00","$20,935.00",Art Gallery of Ontario,Director,1996,0f70fceef4c52fa8ee95076af32c7c0a6e570c47ebfe6e9a618300a338fe0025
CROWN AGENCIES,"$117,999.00",$539.00,Art Gallery of Ontario,Director of Development,1996,0ca91d6aa5fd5ed00d529d9104ab90b68bc7c3a699ae6441537c6060dca6d3f5
CROWN AGENCIES,"$122,389.00","$6,731.00",Art Gallery of Ontario,Chief Curator,1996,183ee9fbfddc158096ded8de42ca41147f47e9e99dec1ffe6395f05476578ba3
ONTARIO PUBLIC SERVICE,"$101,972.97",$293.88,Attorney General,Legal Counsel,1996,1a6800181c7c0c07f119bee07f95286ae9d7d08bd69dad22a4a9a634b9b9bed4
ONTARIO PUBLIC SERVICE,"$104,010.89",$298.56,Attorney General,Legal Cousel Gen.,1996,f492d0afc3e094e23126bb3a693c89d726c87308feef889b9d17cf2a1cd9c212
ONTARIO PUBLIC SERVICE,"$119,198.69",$344.16,Attorney General,"Crown Atty, Simcoe",1996,ca34acba7f13e518046000b262d24f0f3367929e5f3c5ca83f348e0c44abdb12
ONTARIO PUBLIC SERVICE,"$103,580.60",$298.56,Attorney General,Asst. Crown Attorney,1996,3aa537541a339fda6025fd06fcd46aa6900b040937665458641a92105f73898f
ONTARIO PUBLIC SERVICE,"$103,810.20",$298.56,Attorney General,Asst. Crown Attorney,1996,e4a10372e6be84c69abb6e876ad6fa8e15ba3552168cb87097d300756c20146c
ONTARIO PUBLIC SERVICE,"$123,825.00",$0.00,Attorney General,"Provincial Judge, OCJ",1996,9609ac732c6866506ff0f83efa014c1cea21d78b5a4b63ae4e9221288508c668
ONTARIO PUBLIC SERVICE,"$123,825.00",$0.00,Attorney General,"Provincial Judge, OCJ",1996,3773cdfef3062a1d94d56148642d9bffe798aac63d54faa311828afe038d0fab
ONTARIO PUBLIC SERVICE,"$115,927.06",$96.09,Attorney General,Investigator,1996,f4aa778d13f85eafd598e15cb63dc029b1894449d28c75ce722e27f437c174e9
ONTARIO PUBLIC SERVICE,"$123,825.00",$0.00,Attorney General,"Provincial Judge, OCJ",1996,e618ca7572ca05473d5547db4319306735e27570f0200d849aff9010ca51c0cb
ONTARIO PUBLIC SERVICE,"$114,462.12",$330.00,Attorney General,Asst. Crown Attorney,1996,5c553e811d2f08a5cfe45fe61c6edc04727e34808f31d40593027cdd66f0817d
ONTARIO PUBLIC SERVICE,"$103,580.60",$298.56,Attorney General,Asst. Crown Attorney,1996,54c03b989674ea521fcd868b4835dbcf00494f93d04dfc1b8051d1d49245b937
ONTARIO PUBLIC SERVICE,"$119,396.75",$344.16,Attorney General,Crown Attorney,1996,572bf824e3f4fcdba3cf3c95d2239a362fdb3d8d6da0e1bcfb2ee7a57b0cd7be
ONTARIO PUBLIC SERVICE,"$125,627.23",$359.28,Attorney General,Asst. Crown Attorney,1996,f9cf04c8c03b41899c028f80aa86c2587d7e2e06b9a776217e1ad3dcd4e6b078
ONTARIO PUBLIC SERVICE,"$115,752.41",$332.46,Attorney General,Crown Attorney Middlesex,1996,41862c84ea560b6cb80452ffa4fec1a0bd5fb53f6eab5e09b7bd8e512678a2ff
ONTARIO PUBLIC SERVICE,"$103,032.77",$297.00,Attorney General,Crown Counsel,1996,bf03e30a44021b711d677801caabf975a61d84e77b2a25d2e1bfde4e2ac831cf
ONTARIO PUBLIC SERVICE,"$114,462.12",$330.00,Attorney General,Asst. Crown Attorney (Des),1996,525dca4529d1d9345b731ac3e6efdbd0b70393f110b476032310a3470501d18f
ONTARIO PUBLIC SERVICE,"$110,931.07",$319.68,Attorney General,Asst. Crown Attorney,1996,b4b7fbf3a616a24a314078056e30195fe0ef14c975267220039e77c5e4de6d6a
ONTARIO PUBLIC SERVICE,"$123,825.00",$0.00,Attorney General,"Provincial Judge, OCJ",1996,58dd13327357aa2feb4fc8e4f40b1f152e0c965abdee726e06d4a0624655a434
ONTARIO PUBLIC SERVICE,"$135,619.12","$4,655.56",Attorney General,"Regional Senior Judge, OCJ",1996,c65fb9855902b2a3d26a89a23c24471e55b60678ebf72836700b7b7b95905b1f
ONTARIO PUBLIC SERVICE,"$123,825.00","$4,250.74",Attorney General,"Provincial Judge, OCJ",1996,62c8fc0fecad8a89874fed7e1671551299857e23a268b93d395999bb9bd15051
ONTARIO PUBLIC SERVICE,"$108,862.97",$298.56,Attorney General,Dir. Legal Servs.,1996,eed6e73d1d22dceecdbd61afe1b90ffc0addc012d46655fc9cc0a95757c3d60f
