Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Colleges,"$100,892.35",$162.85,Algonquin College,"Dean, School of Health & Comm. Studies",2001,770dda7eb36a71a6ed792e0a48e554b25cd43cfc69f631ee30da580060b01d42
Colleges,"$187,623.89","$10,430.37",Algonquin College,President,2001,ddd4f9a47b358f1e9d2db06ea2d2abc4393ad3805bbea02bac57d58d188caf61
Colleges,"$143,139.95",$224.02,Algonquin College,"VP, Finance & Admin.",2001,d7efdeb5c2bd471a03f2cf0b6369307e4391ccf96e04d3dd571e44655cdb0fb5
Colleges,"$123,784.96",$224.72,Algonquin College,"Vice President, Academic Services",2001,358e1907ab3a61fba58e2363136237938b993959fee41e88a1f43b2d67d0b802
Colleges,"$105,082.20",$192.17,Algonquin College,"Director, Educational Services",2001,5fd2a4a2501d3cc22011b610e90a74b0d7eccb8097362a5e36707622e1a2ecd3
Colleges,"$104,616.92",$199.02,Algonquin College,"Director, Marketing",2001,6f1c3e6fb37da6f8c2e8a9ea472552c340d0d62fd7047557d0749da584e43a7a
Colleges,"$112,227.79",$203.76,Algonquin College,"VP, Student, Life & Human Resources",2001,936e82a34eeb9eb2c46ca86710392f8985de383588ea8a81ccd1ab3dc0121930
Colleges,"$107,193.96","$1,321.92",Brescia College,Principal,2001,9eae9167bc60d1f442dd6be6257de23060c7f33d3dc6b77f32a8b140ab65214d
Colleges,"$105,796.51",$187.19,Cambrian College,"VP, Strategic Development",2001,769b8a4759b772b33e468f39217a6cd3c4f16582c7a845c88acd9fbc1c670770
Colleges,"$108,348.86",$212.15,Cambrian College,"VP, Academic",2001,0a69c02b55ec023c8281151af431e0e8698bbaf87785a6b5ed780cfbed40a982
Colleges,"$123,412.08","$1,504.47",Cambrian College,"CEO, NORCAT",2001,690f35fbd24e51ecbb6788652d2fb5b05daaef1fe93735b57745eefc6424e0aa
Colleges,"$184,861.20","$1,864.21",Cambrian College,President,2001,36eb9564e510cd20a6ab9ca86bf8d56b015f5995ac13e7179f3bcd2eb708590c
Colleges,"$152,888.79",$204.00,Canadore College,President,2001,435e0e8fc13b9eb94d43c80c2d660a4530df85e1f88c712875bd08b1131d4c73
Colleges,"$104,019.66",$204.00,Canadore College,"VP, Academic",2001,8a6904c4e35d395922bb3b0077d10dbe8a72b0c2094493c25c113d2ff43005e8
Colleges,"$100,108.88",$200.56,Centennial College,Professor,2001,64103943c456f4119a45aab24266efd625bca4f3effa48cceec9aa5ef178eac0
Colleges,"$101,229.43",$219.10,Centennial College,Professor,2001,d19798bc82ac42c4e2982cbbd7b37f0b33d5a651f587a0adabcf58a21dff5e24
Colleges,"$121,015.19",$136.21,Centennial College,"Administrator, School of Comm. Arts",2001,a37eaafd56e64d037ceb63587384bb8a286c8c95f39b0dcf4ccc44183e966ea1
Colleges,"$133,800.50",$143.26,Centennial College,Prog. Manager Part-Time Studies,2001,cea7370ee4d90fe96c97c2ac717a1b29a7639ae1d4aab60db114cf25567ba27d
Colleges,"$102,484.99",$241.78,Centennial College,Director- Development,2001,4171ea8116f2b560d4f8f2657bff8fd3484d3f5a6b4ba2090ac0cf8162d94530
