Sector,Salary Paid ,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Colleges,"$136,704.67",$547.02,Algonquin College,"Director, Information Technology Services - Chief Information Officer",2010,de1e6938876717bb6d27c28a039430cb0a01e52f11cdbd8fd8666e275d4228f9
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,9a2c817f5fe244170eec37e0401e18060baff5636d28aab58f133f754d8a39d6
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,ccec62ee5adbbe031c672e0f4eeb0193fa36865e88b6a9c0be343b580a213496
Colleges,"$120,387.58",$488.13,Algonquin College,"Chair, Allied Health Programs",2010,47f1c28c87e2f6ef7dff9ec6da83019d706d49c0db64f72872c9b442b4c4bfc3
Colleges,"$121,202.26",$486.09,Algonquin College,"Chair, Health and Community Studies Department",2010,a46f1dcf6169763a1c898468f06552cc7f3d11da8a8c82e270a731547462d927
Colleges,"$201,088.93",$716.75,Algonquin College,"Vice President, Human Resources",2010,2f60057ba84f3beb455ad02c3a1b05d9bba89d76b521d47e11f9aede6a0e05fb
Colleges,"$101,311.33",$192.36,Algonquin College,Professor,2010,b64af149dacc76a38e67e666e1121d34726a6697122000e866b43ecd2bae89e6
Colleges,"$110,914.12",$147.32,Algonquin College,"Manager, Community and Student Affairs",2010,d202f1f53efb1eb74bce5a62950600aa650c18e6f7b04c14d5367700491f49c1
Colleges,"$104,891.22",$192.36,Algonquin College,Professor,2010,a9cbe4f3e280c2fd0ffd3a14553f0097525739e460140f5ea007a81e23b1cbda
Colleges,"$121,202.26",$486.09,Algonquin College,"Chair, Police and Public Safety Institute",2010,a1c276661fcc9e2b49c21aef7935cb428682fe1dc6995e5bdcbab00c43a6082e
Colleges,"$161,710.48",$625.21,Algonquin College,"Dean, Faculty of Technology and Trades",2010,c39df12f919c0e151a8684f697b3687122950fb6f01d473a52344d6c959d1352
Colleges,"$162,670.39",$519.66,Algonquin College,"Director, Institutional Research and Planning",2010,29d103d278b3cfbb370431da30029e32063ee393922f6b9e65f020aa0ed1383c
Colleges,"$100,162.96",$192.36,Algonquin College,Professor,2010,24c88552e719d81d90fa29e5f3c8c4876a0b6fe7983d17783bf48ba6f2594268
Colleges,"$104,082.74",$192.36,Algonquin College,Professor,2010,c846324b113a74058ecc743fed5c88d4c72be9340f014d80a32ad7ff8577cbe0
Colleges,"$102,350.33",$415.93,Algonquin College,Financial Services Manager,2010,1d65385d0dbd2a70c96ce83b6c36977e31532697343a82d3c7ed9254087e9597
Colleges,"$101,463.97",$192.36,Algonquin College,Counsellor,2010,691391fa24af5c7900434b77a214dadeb8dc2e61bf89e22d215398bdcd2a6b52
Colleges,"$113,370.47",$462.95,Algonquin College,"Chair, Architecture, Civil, Geographic Information Systems Department",2010,0070b9499361e1c95afe172bdcbaf488de0c5785224f347ffd626598ee3d4504
Colleges,"$103,241.74",$126.36,Algonquin College,Counsellor,2010,eb734d828ec10583fa1796f6dc2f8709013b1bcd567bac0c82fad9ccd6905665
Colleges,"$137,705.20",$541.35,Algonquin College,"Dean, Algonquin College Heritage Institute",2010,20b3cd970324bfa3462c30b5e8b4e830932909c5d75ee4409f2aa000c6b00711
Colleges,"$138,031.90",$548.97,Algonquin College,"Director, Marketing and College Enrolment",2010,d2d188e4336b7619667a42102794722142b647f0089c6848cb59c435c361cf1b
Colleges,"$125,000.20",$0.00,Algonquin College,Head of Major Construction,2010,4d7690325e7372090d05faf3c11d27ff6ab59c2094e4d4be917fbf26a236e37a
Colleges,"$104,862.08",$192.36,Algonquin College,Professor,2010,e1043b51f4206b8b42cb58ed9c0681e6530e9f97f3fe53489e3a1366a7fdc6e3
Colleges,"$139,359.13",$550.91,Algonquin College,"Dean, Algonquin College in the Ottawa Valley",2010,f62719bd8038754a4718aba76b300dc6b7f98334d109b31f668e65a4508ffddc
Colleges,"$104,347.55",$126.36,Algonquin College,Professor,2010,e648cb029b22a79f2943ffd8b38e3271e2821e4b5dc64d16d7164c7d1bac1897
Colleges,"$130,585.20",$532.15,Algonquin College,"Dean, School of Business",2010,ed45a96db51fdc2ccaac39348cd3797208fb8eac7f61902854e793d4ab44c49d
Colleges,"$161,710.48",$487.51,Algonquin College,"Dean, Academic Development",2010,74289546ff783a9aa1dd56175849096b8f6f048539c32a74f32e8a581c7d3d82
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,6a72a4260802052e168c220b453fd8e4388783deb4e388f73dd092c6f90050f6
Colleges,"$122,288.39",$386.78,Algonquin College,"Assistant General Manager, Food Service Operations",2010,5a3c60cba5773bab4bd055315ebc9d25677ff5c2b1c1e2289ce6988583afd9b9
Colleges,"$101,452.06",$126.36,Algonquin College,Professor,2010,79e509151d726f063d6ba80e6982691cee7a8ad6c1e9afff26e1ba12fa066610
Colleges,"$104,084.10",$192.36,Algonquin College,Professor,2010,fb97077e80901b623e913be170b9f0f455db67b8f3aa71fa4f81a08f7149d641
Colleges,"$126,749.94",$22.68,Algonquin College,"Manager, Corporate Training Centre",2010,2e2732d87987409d87fb106431fa458202bac78aacfd625a42e5983c45321026
Colleges,"$104,082.74",$126.36,Algonquin College,Professor,2010,244a453d5ef9aa1ce00b1e6c484157bfd049944c5f6a44c4fcefc4227bec0447
Colleges,"$104,635.96",$425.86,Algonquin College,"Associate Registrar, Systems and Reporting",2010,a3b505b30cce95cac2fe7f1d58789fc62731501bdaf7864c9717098fada4084b
Colleges,"$100,085.26",$126.36,Algonquin College,Professor,2010,83771be0d9539f52e686322311ac42bb47372de2255e8d1771b5d028101423e2
Colleges,"$125,909.14",$166.87,Algonquin College,"Chair, Business Administration Core and Service Courses",2010,b5a4c5f006222873de203059c3ed47a6024cb467773aa7be5ad7cdcf8701f370
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,0582504712b9dd5263b441b94f69a804208f9fe55b08a10a930bf87d2de90270
Colleges,"$115,307.34",$471.71,Algonquin College,"Director, Ancillary Services",2010,df3b7e98b752042a18bb914af42053f16d076f3aa702ba9f13d556d9cfc3003f
Colleges,"$133,439.95",$527.48,Algonquin College,"Associate Dean, Health Sciences",2010,59d32201504ef066df030198b56432b3dfc7d66c5fa6d53d10102a9064f0b164
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,2d0596a1d4596d009f620d4d5c9a1b30d223ba98d5408b370bbd12040217712c
Colleges,"$104,635.96",$425.86,Algonquin College,"Manager, Facilities Operations and Maintenance Services Team",2010,02e3d49a167ce0ca53a8cf9c42d93c13723afce122aabb458f57bc3ef25c6c2f
Colleges,"$101,464.04",$181.44,Algonquin College,Professor,2010,489188c57b728d63745926a81033f2157c12218adcee5692c27822064af67d5b
Colleges,"$103,310.68",$192.36,Algonquin College,Professor,2010,6f507d109ab430698477a2a0bb0f1d63748d8d4f22499569a3d8968f2182086e
Colleges,"$106,569.19",$126.36,Algonquin College,Professor,2010,f0b12c89910faa9e0505db2288b2e6ab0a6a6f19a20f4f5f57fcfc6dec7dd624
Colleges,"$332,575.52","$31,549.57",Algonquin College,President,2010,ddd4f9a47b358f1e9d2db06ea2d2abc4393ad3805bbea02bac57d58d188caf61
Colleges,"$101,464.03",$192.36,Algonquin College,Professor,2010,b0e7452f90030217294dc8fe23b8dea3388a3e02ca31db5020c99c367ae13a64
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,332838713c0b52759cf02b1505f0d0b7edd3db6709410cad6806423bc024e94c
Colleges,"$100,395.22",$192.36,Algonquin College,Professor,2010,16ee695ed40c2bca6bf1ccabdd2ca0f40ec2a4c722f2009ba4436641e9328286
Colleges,"$111,960.48",$147.32,Algonquin College,"Associate Registrar, Client Service",2010,ab8299208c4e4f13eaf3eda1ce3c535cf178bee78d359f58efda6a950d7e1afe
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,b62fe9891f2d86c58d19c5fd808546c259d4cc9b6a88f3b25911bcf1cfa055fd
Colleges,"$115,380.00",$0.00,Algonquin College,Manager Workforce Development and Community Outreach,2010,a643dab2ee98ae2bc4d3073df503a1bb751da33f771cb24acc5a12731d29fb33
Colleges,"$102,750.70",$192.36,Algonquin College,Professor,2010,656331782b477839166f5032f14a249018d3661865ea1acca6ea8bc5330c47be
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,5fa57747236e48fc55ac6f6585ded1727426632c10df6fb2d16e152b293e67a3
Colleges,"$103,417.68",$128.15,Algonquin College,"Chair, Media Studies",2010,c6c893a584547ff037475380dfe624e94dcfaf666283da9d8b35915d2bacaf27
Colleges,"$104,137.92",$215.38,Algonquin College,"Manager, Marketing Department",2010,cf72c20898eaed6660ba0421870df51ec84cb0f314835160388bcc5c6e803e5c
Colleges,"$104,082.74",$192.36,Algonquin College,Professor,2010,658d45f07d0bfd3ae2620f275b48bf549b885d6365a49fe60e580ed7adbf912f
Colleges,"$140,686.36",$552.85,Algonquin College,"Director, Research and Development",2010,2e14489827dfbf1c1bbff55bde9c734b05fc7032156e43b1440434f13aca67d5
Colleges,"$102,507.00",$0.00,Algonquin College,"Coordinator, Advanced Technology",2010,14297d7c8c4353d3123176a7a5566e3594c2c0c8b2417f25d2cd27004daf7dc6
Colleges,"$104,082.74",$126.36,Algonquin College,Professor,2010,19398bcc1d3cd97785e6bd1e9b35b66cbf8a550d7ce8e96109c23374ef31435c
Colleges,"$101,700.51",$192.36,Algonquin College,Professor,2010,cf1ccde8954269886ce5887a6399a22e9fa57477f36d18aa2f6d1e28550e1da1
Colleges,"$100,813.51",$192.36,Algonquin College,Professor,2010,ae43c69b3844b0fd29bb56f57a70ad0796497f293d69700906e0d2e08da0d028
Colleges,"$108,181.15",$192.36,Algonquin College,Professor,2010,702ea19bb0203cc11bd15fb2fa3cca43baa3a8b2b0bbd3db9fa0d26d77619a3b
Colleges,"$102,197.38",$181.44,Algonquin College,Professor,2010,02344142dcbad8c03cc78d6d98f287053d8e37b1fabbe9ca9837a3f1fe79a2b2
Colleges,"$113,008.39",$433.33,Algonquin College,"Chair, Marketing and Management Studies Department",2010,c60525a7d4d72aad60e7c753edbab37bc83de76e9aa525f2c00fba3f3aae9813
Colleges,"$126,497.50",$491.92,Algonquin College,"Chair, Business, Technology and Outdoor Training Department",2010,87edb8dee8498121c3a7332afae2a5dbafb83177e359139d113b88f52fffcbb3
Colleges,"$101,464.04",$192.36,Algonquin College,Professor,2010,d4d4921cb73797d75d1c97874a5333e3b1912a92506b256df89cc4166bbfd8ed
Colleges,"$120,025.53",$484.14,Algonquin College,"Chair, Design Studies",2010,20812ed707db391f87085426f00149c433a378e4443a03ddd544a5de9208b1a0
Colleges,"$100,040.78",$192.36,Algonquin College,Professor,2010,bde2681064adad0432a98122b0563e4b61623cb5db64521f7a17cb31c77ab8db
Colleges,"$230,601.80",$465.75,Algonquin College,"Vice President, Administration",2010,9b32a6eafe1b15a5780f305ce29805a2cae02a70df0c87a5bdb579121980e089
Colleges,"$104,635.96",$330.42,Algonquin College,"Manager, Strategic Planning",2010,15b9dbd25784c32f09ea93bd435fdedb4dbe2b0589305f9b0379077980d95e9a
Colleges,"$104,082.74",$126.36,Algonquin College,Professor,2010,91878cb1359519a98d048978182534f1881b847dc21ccc214ded338a1ac36abf
Colleges,"$104,731.93",$192.36,Algonquin College,Professor,2010,522f2b1638a79711ed978d26dc5b751c3101c6d3ba8347edb11afc28a29a8e58
Colleges,"$223,294.21",$815.58,Algonquin College,"Vice President, Academic",2010,0bf3df0da91e9c2cf4b246071496d70ab194f8fb704cf62fc92333cc9a4cd258
Colleges,"$141,349.98",$552.85,Algonquin College,"Director, Learning and Teaching Services",2010,8318c3f25aa5d3a3fcd3dfe16f2f93fb6f969869cde5a3c594d492c599682a74
Colleges,"$104,082.74",$192.36,Algonquin College,Professor,2010,6c1e91fd204f9398763802fa51c277e4b22025a1ba3a13c48e202cc271147f82
Colleges,"$102,028.78",$192.36,Algonquin College,Professor,2010,2c641bd1f9969bf9ee6396088bd25ff26a1de77d40fd7b63666ca5f1327a9f6f
Colleges,"$117,672.10",$371.93,Algonquin College,"Manager, Network Infrastructure",2010,c1397db5cc46ed98b81181255a529f08b62e4fc044abf6741545d6a3659b4925
Colleges,"$101,429.08",$192.36,Algonquin College,Professor,2010,4d3407b89dd37cf52e387a26f730dcf317de643aae2ea764aa3fa0e88398d721
Colleges,"$102,122.24",$192.36,Algonquin College,Professor,2010,bb9a078bd51b49e17e2af8f1c65812f5dd8f7a04076f5b9cf89604f808db4972
Colleges,"$140,686.36",$186.52,Algonquin College,"Director, Student Support Services",2010,d6d3814a5d056a45f3d50d3c82b45ba0e67cd58dd10138c44888a9425e4cd476
Colleges,"$122,881.02",$501.47,Algonquin College,"Director, Staff Relations",2010,e5f85c81267624308d3d5800cf4745bd02ba69d9146fdfddeb647aae060dfa99
Colleges,"$201,055.14",$716.75,Algonquin College,"Vice President, Business Development",2010,257ef0c0955f8f9038a869943759936ebb4117612cab5ba15977d40191236eec
Colleges,"$144,364.34",$554.60,Algonquin College,"Vice President, Administration",2010,38fb37676690715ef55f171467317a28db16805d2a846255a7214c007b20ac0d
Colleges,"$101,837.26",$192.36,Algonquin College,Professor,2010,df3c6c9a7a8c948835ab68dab03b5af32ae6dfbcfee3e5c5d444fc4978895bcf
Colleges,"$100,200.75",$192.36,Algonquin College,Professor,2010,c448d246a480f8090c84ab9803a3f4e4b1e51ebb251aa584fc35c8adb367fa99
Colleges,"$149,731.92",$196.56,Algonquin College,"Dean, Faculty of Arts, Media and Design",2010,c6021e4cf0a34b6000e535b4e52c551a5df53371009298a4d80f00cf0e28403e
