Sector,Salary Paid,Taxable Benefits,Employer,Job title,Calendar year,ID
Government of Ontario - Ministries,123153.63,204.96,Aboriginal Affairs,"Director, Corporate Management / Directrice, gestion ministérielle",2014,0b93459ea9809841c0508e17735b6cafb4b626899401986be1afc56a1d5071ac
Government of Ontario - Ministries,102860.59,173.98,Aboriginal Affairs,Senior Negotiator / Négociateur principal,2014,97a720358c93dc51a239e7d3795f52a0f89fb6c414e346c03a5e9502b4c2df66
Government of Ontario - Ministries,114399.48,189.54,Aboriginal Affairs,"Manager, Issues Management and Media Relations / Chef, gestions des questions d'intérêt et relations avec les m?dias",2014,a9c82a1f9ed44852c970b8c3e064a70dbe46553cb7c8fc0c2d381c9f9d9fc1e4
Government of Ontario - Ministries,103033.91,176.37,Aboriginal Affairs,Team Lead / Chef d'équipe,2014,1cc49dea1487283bbc71652e2fec90d5ce4de5763976afb76b392c4c1d024c37
Government of Ontario - Ministries,102045.84,175.66,Aboriginal Affairs,"Manager, Performance Measures and Data / Chef, mesures et données de rendement",2014,1cb8d3718be59f1065cba734099f310eac082d2460dc938f9b6e791acacbc158
Government of Ontario - Ministries,185661.92,298.74,Aboriginal Affairs,"Assistant Deputy Minister, Negotiations and Reconciliation / Sous-ministre adjoint, négociations et réconciliation",2014,5acb178444a92568920d08c7483bb71fa1d9eb53be1ac319217065aa2d393738
Government of Ontario - Ministries,124414.83,204.96,Aboriginal Affairs,"Director, Negotiations / Directeur, négociations",2014,7c02e08d88fbc93d0924df6c247dd8dc981b5ce094f1e115a42ca760b9c4724b
Government of Ontario - Ministries,110862.89,192.0,Aboriginal Affairs,Strategic Policy Advisor / Conseillère en politiques stratégiques,2014,a777497187dbfac5b431757216eb7a980334d8ba8db20cfa5dc13082b067c3aa
Government of Ontario - Ministries,126258.75,217.44,Aboriginal Affairs,Chief of Staff / Chef de cabinet,2014,8cbc7a51c4cf8d5efdb03b1c86836d064e2d66c7c22c6929e9b3d227cec5d3b2
Government of Ontario - Ministries,101747.32,178.56,Aboriginal Affairs,"Manager, Controllership / Chef, contrôle financier",2014,b1cc4ee6978d9ea3746ee227334ab7a3e4fd9b94586d31329788617873c0b160
Government of Ontario - Ministries,129057.03,222.27,Aboriginal Affairs,"Director, Communications / Directeur, services de communications",2014,ac0066f9d9be21f243fdef97eece0f86bea8eabd10d79c83a1cd0699638f0626
Government of Ontario - Ministries,104403.53,172.21,Aboriginal Affairs,Executive Assistant / Attachée de direction,2014,b2d12024be026fc2eb48175b4994081a16241c4a14a02c228424fe7c0ad3a0b7
Government of Ontario - Ministries,209909.59,9686.95,Aboriginal Affairs,Deputy Minister / Sous-ministre,2014,ed8e1d7aac8966127a64ea801e716fdb1d21abe272b980d51f6995ce82f31a8f
Government of Ontario - Ministries,100175.22,170.76,Aboriginal Affairs,Senior Policy Advisor / Conseiller principal en politiques,2014,ba57482e475d1b4ff794c13a5c141e700c5cc44249e62b2d4d255150dc4caaed
Government of Ontario - Ministries,141002.6,236.52,Aboriginal Affairs,"Assistant Deputy Minister, Aboriginal Relations and Ministry Partnerships / Sous-ministre adjoint, relations avec les Autochtones et partenariats ministériels",2014,25524d0902202b9686c4d95f90491fd21f69dd1893a76344a9753346563e6566
Government of Ontario - Ministries,103084.89,177.87,Aboriginal Affairs,Senior Advisor / Conseiller principal,2014,04dcaf746988739aa2768d504b50a76630fd14badb63ff19ae48864d5816c7eb
Government of Ontario - Ministries,107025.05,184.13,Aboriginal Affairs,"Director, Strategic Planning and Economic Policy / Directrice, planification stratégique et politiques économiques",2014,c900064e7d2afff3af2ba523ea9ec0ef91604d3f0321709bf0523deff658c76c
Government of Ontario - Ministries,119289.05,204.69,Aboriginal Affairs,Senior Negotiator / Négociatrice principale,2014,eb60ee0d91e7f0dc446decf39ce3bf62a00973593b0084b5e8be0df732808db6
Government of Ontario - Ministries,111930.84,191.34,Aboriginal Affairs,"Team Lead, Special Projects / Chef d'équipe, projets spéciaux",2014,63fad5694cfd2714001a4487504ff40642f008dcb8973d23ba01c1f3d01c0b50
Government of Ontario - Ministries,110062.53,189.54,Aboriginal Affairs,"Director, Corporate Management / Directrice, gestion ministérielle",2014,23ec86a4c53c5d63296a8a07a03da7fad2f12824e7b5b38c3b1248da2e1b741f
Government of Ontario - Ministries,109094.88,187.32,Aboriginal Affairs,"Team Lead, Research and Assessment / Chef d'équipe, recherche et évaluation",2014,6eff416c0fa17aecaab04f56b90800b5628026a67f2e04721163df4a1cf58be4
Government of Ontario - Ministries,122968.45,206.0,Aboriginal Affairs,"Director, Strategic Initiatives and Social Policy / Directeur, initiatives stratégiques et politiques sociales",2014,2949cdb5fddb4a54239fa94a26aaa323b3ce9946d2c7c55b31385f40388b28a1
Government of Ontario - Ministries,100014.62,172.29,Aboriginal Affairs,Senior Media Relations and Issues Coordinator / Coordonnatrice principale des relations avec les médias et des questions d'intérêt,2014,92fa9ac6e1dec91712b5e19400b4fe1cfdac49afa5f8acae488a7e291414cf82
Government of Ontario - Ministries,121564.63,204.69,Aboriginal Affairs,Senior Negotiator / Négociateur principal,2014,5e2ebe47439438c33834ef4b68bb822b8b4b53238afc27b23151448a8716e480
Government of Ontario - Ministries,108980.88,186.9,Aboriginal Affairs,"Team Lead, Consultation / Chef d'équipe, consultation",2014,b96564c20b469aeeeb3a6bdf5fa87cc01024e1ccc19cc2beb0c096b1cca8d91d
Government of Ontario - Ministries,188852.3,298.74,Aboriginal Affairs,"Assistant Deputy Minister, Strategic Policy and Planning / Sous-ministre adjointe, politiques et planification stratégique",2014,a717b43fd191cc1fca7cab1977dd6426ad494ce4f4174d959541694b624ca3de
Government of Ontario - Ministries,118848.87,204.69,Aboriginal Affairs,Negotiator / Négociateur,2014,f9dafc46292e2266a6281c8a1581f254711ba04515b91dc97bd84589d63c6838
Government of Ontario - Ministries,106414.2,173.86,Aboriginal Affairs,Special Policy Advisor / Conseillère spéciale en politiques,2014,e1bf798a489ceeb9007e209f87725576d1429b3fdf53ab63086d312f4ee2f955
Government of Ontario - Ministries,122954.69,204.96,Aboriginal Affairs,"Director, Community Initiatives / Directeur, initiatives communautaires",2014,2ddb15dbd4fc2426c743bc25e3c091f0068fd92132d589ab05a5484b1601c111
Government of Ontario - Ministries,115926.12,199.53,Aboriginal Affairs,Senior Negotiator / Négociatrice principale,2014,35e7d1cb29b6d99b8e83d9b5d683982f6d811cd8056237c04d51ce65b9e1f8b8
Government of Ontario - Ministries,136111.43,234.21,Aboriginal Affairs,"Director, Programs and Services / Directrice, programmes et services",2014,a269fca729a4a83fe2f1b8ce5dee7505b15205d05d30ca32cedc27f836c5f41e
Government of Ontario - Ministries,156538.38,280.65,Aboriginal Affairs,"Assistant Deputy Minister, Aboriginal Relations and Ministry Partnerships / Sous-ministre adjointe, relations avec les Autochtones et partenariats ministériels",2014,f5affa7720ea5e3e440315b4f6dcec0e835eff5e032232daa897493cbcb9c369
Government of Ontario - Ministries,102868.48,122.77,Aboriginal Affairs,"Coordinator, Business and Corporate Planning / Coordonnateur de la planification des activit?s et de la planification g?nérale",2014,5ef6801b54001a8af9f43eab82defe9d3d00eb925171b75b15ce8d1b071daae3
Government of Ontario - Ministries,142713.72,234.21,Aboriginal Affairs,"Director, Aboriginal and Ministry Relations Branch / Directrice, direction des relations avec les Autochtones et les ministères",2014,40467e97fd383ddc76e63f8213bdc03fdc2fe8fe16bac54ea0ce2587fb9b5052
Government of Ontario - Ministries,109682.7,185.29,Aboriginal Affairs,"Manager, Ministry Partnerships / Chef, partenariats ministériels",2014,2123928dbeb2951e3ea152eada3f190d8aaa624331ea2f281e875679dcb89ecb
Government of Ontario - Ministries,103391.96,0.0,Aboriginal Affairs,Senior Negotiator / Négociatrice principale,2014,9885d7662426f0d6fba8967e3e0687b8e21b1a7046a94142a7216bad606b2c34
Government of Ontario - Ministries,104871.37,181.22,"Agriculture, Food and Rural Affairs",Senior Program Advisor / Conseillère principale en programmes,2014,bef74f9f230da8853153c8889af060f4e4f38ef1a85b4117b172a965c30dad47
Government of Ontario - Ministries,114975.06,187.26,"Agriculture, Food and Rural Affairs","Manager, Legislative Policy / Chef, politiques législatives",2014,17d90693876726a57fc72932536b92920ff7baf84df2d5a7d0869084f00b35e5
Government of Ontario - Ministries,112683.35,187.26,"Agriculture, Food and Rural Affairs","Manager, Socio-Economic Analysis / Chef, analyse socioéconomique",2014,e6c07c90a1a117bf702c99918f8ef3cfd9ac11e757c3740aad421232f603f2e5
Government of Ontario - Ministries,105762.31,181.83,"Agriculture, Food and Rural Affairs","Lead Veterinarian, Regulatory Response / Vétérinaire principale, interventions réglementaires",2014,3f6d4e63d435cc04ba6057a10d34124c0659e5f9e39a818165cd7d37cd1d6678
Government of Ontario - Ministries,104149.68,179.05,"Agriculture, Food and Rural Affairs",Senior Policy Advisor / Conseillère principale en politiques,2014,e94e2beda0712e542f2bd582b68116c2bae365280cb3c910aea2de3b90e15675
Government of Ontario - Ministries,112682.24,187.26,"Agriculture, Food and Rural Affairs","Manager, Veterinary Science and Policy / Chef, sciences et politiques vétérinaires",2014,72c8ee84ea85ab90eee067d908fb4288388a70f48e1b52d2274fc1679260a7bd
Government of Ontario - Ministries,113435.46,188.59,"Agriculture, Food and Rural Affairs",Executive Assistant / Attachée de direction,2014,4bb7a836968f1d825354c7c81f513eb69c1b3365ef5bc131c2b344cb7d4377be
Government of Ontario - Ministries,112682.24,187.26,"Agriculture, Food and Rural Affairs","Manager, Dairy Food Safety Program / Chef, programme de salubrité des produits laitiers",2014,7b245bee67002309f0289682ba13949aa55e8aa13a7533575c208a155ed66aa0
Government of Ontario - Ministries,145215.21,234.21,"Agriculture, Food and Rural Affairs","Director, Food Safety and Environmental Policy / Directrice, politiques de l'environnement et salubrité des aliments",2014,4993712e3fceca7841f8d77b04f96c70930e74e18b143c384c9ff335764f79a7
Government of Ontario - Ministries,100314.02,0.0,"Agriculture, Food and Rural Affairs",Meat Hygiene Officer / Agent de l'hygiène des viandes,2014,3803a84637b5a701448048fa717818bdf7514d01de6115a74c4ef953c3f77ab5
Government of Ontario - Ministries,114783.72,187.26,"Agriculture, Food and Rural Affairs","Manager, Horticulture Technology / Chef, techniques horticoles",2014,523f8e6373f1a5edda6fd97584c4400e1d14b48b23fa8f5f33a4861086179061
Government of Ontario - Ministries,101084.48,174.0,"Agriculture, Food and Rural Affairs","Manager, Economic Development Programs and Information Services / Chef, programmes de développement économique et services d'information",2014,b6fa593d831fbebeef056a314e6551348348f79b8ab13030d903bbfe90d128ed
Government of Ontario - Ministries,104101.29,179.31,"Agriculture, Food and Rural Affairs",Senior Policy Advisor / Conseillère principale en politiques,2014,dd4f47672d9c7e35e74b86f894393d70459015b6fce3406e5baa88a0e9d7ce96
Government of Ontario - Ministries,104510.51,364.27,"Agriculture, Food and Rural Affairs","Lead Veterinarian, Disease Prevention, Swine / Vétérinaire principal, prévention des maladies des porcs",2014,a20a574c5ea9cf25736989a393e01d8edd4e00f122e007ce823321c900e9d986
Government of Ontario - Ministries,174004.05,265.96,"Agriculture, Food and Rural Affairs","Director, Rural Programs / Directeur, Programmes pour les collectivités rurales",2014,1eea9df580e49d884bdfad2b5dba72ad056b2645fe4e5018eea2396b1cfcea17
Government of Ontario - Ministries,152856.01,4921.11,"Agriculture, Food and Rural Affairs","Assistant Deputy Minister, Economic Development / Sous-ministre adjoint, développement économique",2014,3bf5e0352290c5177fa32cf26100f7e10b2050785a32272f08639dd834b08879
