Sector,Salary Paid,Taxable Benefits,Employer,Job Title,Calendar Year,ID
Government of Ontario - Ministries,106143.8,$177.35,Aboriginal Affairs,Senior Negotiator / Négociateur principal,2015,97a720358c93dc51a239e7d3795f52a0f89fb6c414e346c03a5e9502b4c2df66
Government of Ontario - Ministries,116374.2,$187.86,Aboriginal Affairs,"Manager, Issues Management & Media Relations / Chef, gestions des questions d'intérêt et relations avec les médias",2015,a9c82a1f9ed44852c970b8c3e064a70dbe46553cb7c8fc0c2d381c9f9d9fc1e4
Government of Ontario - Ministries,104306.14,$177.79,Aboriginal Affairs,"Manager, Performance Measures & Data / Chef, mesures et données de rendement",2015,1cb8d3718be59f1065cba734099f310eac082d2460dc938f9b6e791acacbc158
Government of Ontario - Ministries,129825.76,$187.79,Aboriginal Affairs,"Manager, Aboriginal Relationships / Chef, relations avec les Autochtones",2015,fd588c80083097abbafe144337a2386bb09c4955e089bb090de4f95f9ea46ff3
Government of Ontario - Ministries,192375.37,$296.82,Aboriginal Affairs,"Assistant Deputy Minister, Negotiations & Reconciliation / Sous-ministre adjoint, négociations et réconciliation",2015,5acb178444a92568920d08c7483bb71fa1d9eb53be1ac319217065aa2d393738
Government of Ontario - Ministries,124071.75,$203.23,Aboriginal Affairs,"Director, Negotiations / Directeur, négociations",2015,7c02e08d88fbc93d0924df6c247dd8dc981b5ce094f1e115a42ca760b9c4724b
Government of Ontario - Ministries,106155.43,$178.88,Aboriginal Affairs,Strategic Policy Advisor / Conseillère en politiques stratégiques,2015,a777497187dbfac5b431757216eb7a980334d8ba8db20cfa5dc13082b067c3aa
Government of Ontario - Ministries,121582.5,$214.80,Aboriginal Affairs,Chief of Staff / Chef de cabinet,2015,8cbc7a51c4cf8d5efdb03b1c86836d064e2d66c7c22c6929e9b3d227cec5d3b2
Government of Ontario - Ministries,106729.19,$271.56,Aboriginal Affairs,Executive Assistant / Attachée de direction,2015,473b018101636fe4b34530368bddc544f9ed26555e23868ef2c5da06b1081da5
Government of Ontario - Ministries,149525.23,$258.26,Aboriginal Affairs,"Assistant Deputy Minister, Negotiations & Reconciliation / Sous-ministre adjoint, négociations et réconciliation",2015,25524d0902202b9686c4d95f90491fd21f69dd1893a76344a9753346563e6566
Government of Ontario - Ministries,101185.02,$163.89,Aboriginal Affairs,"Manager, Special Projects / Chef, projets spéciaux",2015,df903a107f8efd3c4c005f4a9a6bca3a1f0783a334b9cc82993cbb629ea0f527
Government of Ontario - Ministries,111358.1,$193.90,Aboriginal Affairs,"Manager, Consultation Policy Project Office / Chef, Bureau des projets relatifs aux politiques de consultation",2015,c900064e7d2afff3af2ba523ea9ec0ef91604d3f0321709bf0523deff658c76c
Government of Ontario - Ministries,118190.76,$204.39,Aboriginal Affairs,Senior Negotiator / Négociatrice principale,2015,eb60ee0d91e7f0dc446decf39ce3bf62a00973593b0084b5e8be0df732808db6
Government of Ontario - Ministries,160510.26,$107.38,Aboriginal Affairs,"Manager, Special Projects / Chef, projets spéciaux",2015,0bcf7f0408bdab6692a2456b028ab171d4f454300d4f1cb8759c29fd8d2a2e35
Government of Ontario - Ministries,104120.49,$173.18,Aboriginal Affairs,Negotiator / Négociateur,2015,b00d30638144aeaaa6963850a1a3d6bf0037dab664a716783f30e84ba7717c16
